category_id,region_id,month,budgeted_spend
CAT01,APAC ,2023-01-01,81708.57
CAT01, APAC,2023-02-01,102491.25
CAT01,apac,2023-03-01,117736.66
CAT01,APAC ,2023-04-01,44841.18
CAT01,APAC,2023-05-01,55277.05
CAT01,APAC ,2023-06-01,104754.76
cat01,APAC,2023-07-01,36910.71
cat01,APAC,2023-08-01,73057.0
CAT01,APAC ,2023-09-01,83266.47
CAT01,APAC,2023-10-01,104783.05
CAT01,apac,2023-11-01,114707.01
cat01, APAC,2023-12-01,39945.3
CAT01,apac,2024-01-01,14520.44
CAT01 ,APAC,2024-02-01,11138.24
CAT01, APAC,2024-03-01,118964.17
CAT01,APAC,2024-04-01,55423.36
 CAT01,APAC,2024-05-01,54713.13
CAT01 , APAC,2024-06-01,11902.76
CAT01,APAC,2024-07-01,15575.42
CAT01 ,APAC ,2024-08-01,13676.46
CAT01 ,APAC,2024-09-01,48627.37
CAT01,APAC,2024-10-01,86325.86
CAT01,APAC,2024-11-01,82701.63
 CAT01,APAC,2024-12-01,105402.08
CAT01 ,EMEA ,2023-01-01,56561.75
 CAT01,EMEA,2023-02-01,
cat01,,2023-03-01,54365.43
CAT01,EMEA,2023-04-01,106973.57
CAT01 ,,2023-05-01,85531.96
CAT01, EMEA,2023-06-01,56914.63
cat01, EMEA,2023-07-01,52494.43
CAT01 ,EMEA,2023-08-01,80444.49
CAT01 ,emea,2023-09-01,72750.62
,EMEA,2023-10-01,21911.16
CAT01 ,emea,2023-11-01,52096.89
CAT01,EMEA ,2023-12-01,95449.94
CAT01,EMEA,2024-01-01,96848.45
 CAT01,EMEA,2024-02-01,23503.54
CAT01,EMEA,2024-03-01,20430.08
 CAT01, EMEA,2024-04-01,62584.09
CAT01,,2024-05-01,115972.92
 CAT01,EMEA,2024-06-01,49253.11
CAT01,EMEA ,2024-07-01,87898.33
CAT01,emea,2024-08-01,118488.83
cat01,EMEA,2024-09-01,119430.4
CAT01,EMEA,2024-10-01,87834.48
CAT01,EMEA,2024-11-01,22138.18
CAT01,EMEA,2024-12-01,24850.35
CAT01,NA,2023-01-01,12942.22
 CAT01,NA,2023-02-01,89074.37
cat01,NA,2023-03-01,116175.31
cat01,na,2023-04-01,10533.17
CAT01,NA,2023-05-01,89163.35
CAT01 ,NA ,2023-06-01,51387.61
CAT01 ,na,2023-07-01,100113.34
cat01,NA,2023-08-01,100526.7
cat01,NA,2023-09-01,47862.77
CAT01,NA ,2023-10-01,22814.75
 CAT01,na,2023-11-01,82937.1
cat01,NA ,2023-12-01,58352.07
CAT01,NA ,2024-01-01,49332.15
CAT01 ,NA,2024-02-01,91837.09
 CAT01,NA,2024-03-01,84956.79
CAT01,NA,2024-04-01,37281.49
CAT01,NA,2024-05-01,21995.6
CAT01,NA,2024-06-01,113849.73
CAT01,NA,2024-07-01,68753.15
CAT01,NA ,2024-08-01,79013.27
CAT01,NA,2024-09-01,65343.53
 CAT01,NA ,2024-10-01,97346.33
CAT01,NA,2024-11-01,67030.72
cat01,NA,2024-12-01,48825.94
 CAT01,LATAM ,2023-01-01,66919.52
CAT01,LATAM,2023-02-01,71759.59
CAT01,latam,2023-03-01,72364.82
CAT01 ,LATAM,2023-04-01,92676.41
cat01,LATAM,2023-05-01,88205.55
cat01,latam,2023-06-01,34639.99
CAT01,LATAM,2023-07-01,15860.85
CAT01,LATAM,2023-08-01,98934.65
CAT01, LATAM,2023-09-01,68720.99
CAT01, LATAM,2023-10-01,61977.87
CAT01,latam,2023-11-01,67870.68
CAT01,LATAM,2023-12-01,36772.21
cat01,LATAM ,2024-01-01,38499.06
CAT01 ,LATAM ,2024-02-01,17037.98
CAT01,LATAM,2024-03-01,77419.25
CAT01,LATAM,2024-04-01,103007.48
CAT01,LATAM,2024-05-01,10479.61
CAT01,latam,2024-06-01,102571.27
CAT01,LATAM ,2024-07-01,108832.66
CAT01,LATAM,2024-08-01,
CAT01, LATAM,2024-09-01,11433.33
CAT01,LATAM ,2024-10-01,85887.54
CAT01,LATAM,2024-11-01,103242.03
CAT01,latam,2024-12-01,115313.83
CAT02,APAC,2023-01-01,54803.34
CAT02,APAC,2023-02-01,82728.31
CAT02,APAC ,2023-03-01,14750.93
